TIME;DAY;DATE;LEAGUE;HOME;AWAY;MATCH_ID;1;X;2;0-2;2+;3+;GG;IGG;GG&3+
12:00;Sub;25.10.;BIH2;Famos Vojkovici;Kozara;;1.47;4.05;5.5;2.07;1.2;1.67;1.8;;
12:00;Sub;25.10.;BIH2;Laktasi;BSK Banja Luka;;1.5;3.85;5.5;2.07;1.2;1.67;1.75;;
12:00;Sub;25.10.;ČEŠ3;Domazlice;Dukla Prague B;502;1.4;4.7;5.65;2.75;1.09;1.4;1.58;3.55;1.75
12:00;Sub;25.10.;ČEŠ3;Ceska Lipa;Velvary;499;1.24;5.55;8.3;3.15;1.06;1.31;1.67;3.65;1.8
12:00;Sub;25.10.;DAN2;Aalborg;Lyngby;529;2.35;3.5;2.65;2.13;1.19;1.63;1.55;3.7;1.8
12:00;Sub;25.10.;DAN2;Aarhus Fremad;Esbjerg;530;1.9;3.65;3.5;2.15;1.18;1.62;1.57;3.75;1.85
12:00;Sub;25.10.;DAN2;Hobro;Hillerod;528;2.55;3.35;2.55;1.92;1.25;1.78;1.65;4.1;1.98
12:00;Sub;25.10.;DAN3;AB Copenhagen;Brabrand;499;1.22;6.15;9.8;3.05;1.07;1.33;1.78;3.95;1.92
12:00;Sub;25.10.;DAN3;Hellerup;Skive;501;2.18;3.2;3.2;1.75;1.32;1.98;1.78;4.65;2.2
12:00;Sub;25.10.;DAN4;BK Frem;Holbaek;501;2.65;3.35;2.3;1.8;1.29;1.9;1.75;4.4;2.15
12:00;Sub;25.10.;DAN4;Bronshoj;Vejgaard;501;1.67;3.9;3.9;2.25;1.17;1.58;1.6;3.75;1.85
12:00;Sub;25.10.;DAN4;FA 2000;Vanlose;501;2.05;3.5;3.0;1.98;1.23;1.73;1.65;4.0;1.95
12:00;Sub;25.10.;ENG21;Leicester U21;Southampton U21;503;2.18;4.0;2.48;3.1;1.07;1.32;1.33;2.85;1.45
12:00;Sub;25.10.;ETI1;St. George;Ethiopian Insurance;;3.3;2.65;2.33;1.35;1.65;2.95;2.3;;
12:00;Sub;25.10.;FRO2;Sandur;IF Fuglafjordur;491;1.53;4.2;4.55;2.95;1.08;1.35;1.43;3.15;1.6
12:00;Sub;25.10.;FRA2;Amiens;Rodez;1207;3.1;3.35;2.25;2.0;1.22;1.72;1.6;3.95;1.95
12:00;Sub;25.10.;FRA2;Montpellier;Nancy;1228;2.13;3.15;3.6;1.68;1.35;2.05;1.83;4.9;2.37
12:00;Sub;25.10.;GRČ2;Ellas Syrou;PAE Egaleo;500;2.15;3.05;3.4;1.57;1.42;2.25;1.95;5.35;2.5
12:00;Sub;25.10.;GRČ2;Ilioupoli;PAE Chania;501;2.4;3.05;2.9;1.53;1.45;2.35;2.0;5.5;2.6
12:00;Sub;25.10.;GRČ2;Kavala;Karditsa;500;5.7;3.55;1.58;1.53;1.45;2.33;2.38;6.5;3.2
12:00;Sub;25.10.;GRČ2;Panargiakos;Kallithea;500;6.9;3.7;1.5;1.6;1.4;2.18;2.32;6.35;2.9
12:00;Sub;25.10.;IDN1;Bali United;Persita;501;1.7;3.65;4.3;2.1;1.19;1.65;1.63;3.95;1.9
12:00;Sub;25.10.;IDN2;PSMS Medan;Persiraja Aceh;501;1.63;3.55;4.7;1.7;1.35;2.05;2.05;5.35;2.55
